epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.15385,2.40432,5.64528,1.7098,0.16835,0.23403,0.17053,0.099,1.79861,11.8101,1.39387,0.00013328,0.00013328,0.00013328
2,15.8762,1.36761,1.73991,1.08827,0.44732,0.36534,0.3902,0.23729,1.55979,3.74327,1.28126,0.000270354,0.000270354,0.000270354
3,22.6572,1.26372,1.27103,1.0439,0.53089,0.4297,0.52786,0.29316,1.5317,2.42224,1.26615,0.000402755,0.000402755,0.000402755
4,29.0951,1.17443,1.0197,1.02599,0.70474,0.49103,0.61223,0.34268,1.47994,2.04047,1.21951,0.000530484,0.000530484,0.000530484
5,35.8174,1.15189,0.90597,1.00185,0.73802,0.46271,0.58595,0.3306,1.57527,1.97165,1.26334,0.000653538,0.000653538,0.000653538
6,42.2717,1.1859,0.88132,1.02313,0.687,0.43351,0.47271,0.26966,1.44027,2.23138,1.19249,0.000764278,0.000764278,0.000764278
7,48.5956,1.12694,0.81369,1.00718,0.79013,0.75442,0.81512,0.46494,1.42242,1.43676,1.16788,0.000750533,0.000750533,0.000750533
8,55.3309,1.10677,0.7629,1.0026,0.85093,0.66196,0.80305,0.4516,1.49475,1.48532,1.19149,0.000736788,0.000736788,0.000736788
9,61.6436,1.1241,0.74933,1.01703,0.75314,0.72864,0.82492,0.46608,1.40556,1.38595,1.16294,0.000723044,0.000723044,0.000723044
10,68.1802,1.072,0.699,0.99537,0.78868,0.67424,0.74313,0.43304,1.36127,1.54909,1.17,0.000709299,0.000709299,0.000709299
11,74.7704,1.07999,0.69386,1.00159,0.83184,0.662,0.73752,0.43005,1.38686,1.3062,1.1752,0.000695555,0.000695555,0.000695555
12,81.2165,1.0739,0.67972,0.99783,0.81637,0.72624,0.81078,0.47791,1.39999,1.16463,1.17041,0.00068181,0.00068181,0.00068181
13,87.9144,1.02252,0.64384,0.97747,0.874,0.822,0.88797,0.55101,1.37028,0.98603,1.14676,0.000668066,0.000668066,0.000668066
14,94.6331,1.01988,0.64365,0.97438,0.87165,0.81892,0.89774,0.55331,1.30762,0.96969,1.13477,0.000654321,0.000654321,0.000654321
15,101.215,1.01056,0.62305,0.97855,0.85472,0.82971,0.89502,0.56281,1.33206,1.00493,1.13701,0.000640577,0.000640577,0.000640577
16,108.066,0.98149,0.61651,0.95977,0.84372,0.78593,0.88179,0.54428,1.30774,0.99072,1.14754,0.000626832,0.000626832,0.000626832
