epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.56761,2.29386,4.25721,1.72528,0.18129,0.34268,0.20258,0.11135,2.13762,13.4258,1.56018,0.00013328,0.00013328,0.00013328
2,15.1067,1.41458,1.7653,1.15975,0.48492,0.36574,0.3719,0.19081,1.74413,4.09624,1.25566,0.000270354,0.000270354,0.000270354
3,22.0568,1.26712,1.40126,1.09003,0.63474,0.3864,0.44485,0.23706,1.71495,2.86536,1.30647,0.000402755,0.000402755,0.000402755
4,28.7672,1.25949,1.16916,1.10028,0.4958,0.43065,0.40108,0.22673,1.59359,2.4585,1.19346,0.000530484,0.000530484,0.000530484
5,35.2142,1.22457,1.05577,1.08027,0.51328,0.48119,0.53552,0.28983,1.59489,1.98993,1.2295,0.000653538,0.000653538,0.000653538
6,42.1486,1.27479,1.00146,1.0989,0.60829,0.55394,0.61042,0.33182,1.53012,1.72243,1.24164,0.000764278,0.000764278,0.000764278
7,48.7269,1.24114,0.97873,1.09037,0.65768,0.54733,0.61642,0.31014,1.75014,1.99888,1.28047,0.000750533,0.000750533,0.000750533
8,55.6124,1.23025,0.93013,1.10949,0.83362,0.60635,0.71529,0.32507,1.82135,1.86684,1.30893,0.000736788,0.000736788,0.000736788
9,62.3758,1.21197,0.87401,1.08924,0.65231,0.59518,0.6824,0.35638,1.56961,1.71504,1.2115,0.000723044,0.000723044,0.000723044
10,69.3979,1.17313,0.84702,1.06094,0.70685,0.63772,0.73307,0.38584,1.57728,1.55277,1.23703,0.000709299,0.000709299,0.000709299
11,76.0246,1.1583,0.80168,1.06542,0.75136,0.69596,0.79299,0.45106,1.53088,1.26364,1.22503,0.000695555,0.000695555,0.000695555
12,82.8582,1.17553,0.80138,1.07774,0.76338,0.65307,0.73828,0.41688,1.42789,1.35099,1.1927,0.00068181,0.00068181,0.00068181
13,89.0721,1.14026,0.7653,1.06467,0.69221,0.60112,0.67487,0.39401,1.47043,1.65565,1.22473,0.000668066,0.000668066,0.000668066
14,96.4417,1.11496,0.74078,1.05034,0.79055,0.69015,0.80335,0.4573,1.49027,1.28836,1.19662,0.000654321,0.000654321,0.000654321
15,103.328,1.08262,0.70265,1.04206,0.76631,0.462,0.57644,0.32347,1.55179,1.7001,1.24065,0.000640577,0.000640577,0.000640577
16,110.124,1.09837,0.6884,1.04455,0.76621,0.5273,0.63904,0.3664,1.50527,1.60816,1.23629,0.000626832,0.000626832,0.000626832
17,116.996,1.12624,0.70724,1.05773,0.6289,0.62783,0.65647,0.35831,1.59011,1.5924,1.24493,0.000613088,0.000613088,0.000613088
18,123.785,1.1129,0.71054,1.0505,0.70159,0.65298,0.69781,0.39597,1.45097,1.30217,1.18823,0.000599343,0.000599343,0.000599343
19,130.343,1.05102,0.68731,1.04035,0.70195,0.56113,0.64725,0.35182,1.5746,1.64761,1.21634,0.000585599,0.000585599,0.000585599
20,137.135,1.04987,0.67071,1.02813,0.74881,0.78064,0.82916,0.48075,1.47945,1.1902,1.19923,0.000571854,0.000571854,0.000571854
21,144.742,1.06463,0.65155,1.03468,0.77838,0.7653,0.857,0.42244,1.6816,1.15496,1.26,0.00055811,0.00055811,0.00055811
22,151.703,1.05376,0.63903,1.02442,0.7842,0.74675,0.85252,0.49583,1.50359,1.13137,1.2115,0.000544365,0.000544365,0.000544365
23,158.833,1.03142,0.62535,1.01726,0.87759,0.76027,0.88422,0.54657,1.42369,0.99227,1.17505,0.000530621,0.000530621,0.000530621
24,165.841,0.99183,0.60947,1.01345,0.85838,0.78091,0.84307,0.51312,1.4871,1.04612,1.19918,0.000516877,0.000516877,0.000516877
25,172.306,1.05023,0.61802,1.03005,0.8312,0.78115,0.86935,0.48156,1.51198,1.01522,1.20917,0.000503132,0.000503132,0.000503132
26,178.942,1.05203,0.61341,1.03035,0.88429,0.78844,0.87863,0.47656,1.55739,1.01082,1.21152,0.000489387,0.000489387,0.000489387
27,185.631,1.06441,0.62533,1.04132,0.8569,0.7719,0.83832,0.48706,1.45058,0.98472,1.16497,0.000475643,0.000475643,0.000475643
28,192.457,0.98894,0.57783,1.00451,0.86747,0.80216,0.86096,0.51915,1.51293,1.04712,1.16631,0.000461898,0.000461898,0.000461898
29,198.931,0.9767,0.57081,1.00791,0.86469,0.72047,0.80522,0.48204,1.43351,1.23047,1.15788,0.000448154,0.000448154,0.000448154
30,206.049,0.98961,0.5781,1.00406,0.8258,0.73384,0.82674,0.51631,1.39303,1.19813,1.14641,0.000434409,0.000434409,0.000434409
31,212.742,0.94957,0.55405,0.99,0.81909,0.73844,0.82905,0.48819,1.38197,1.07662,1.14128,0.000420665,0.000420665,0.000420665
32,219.393,0.96945,0.56345,1.00782,0.82609,0.76303,0.8296,0.49956,1.37862,1.06596,1.16022,0.00040692,0.00040692,0.00040692
33,226.243,0.91918,0.54886,0.98405,0.75328,0.64618,0.74733,0.43968,1.42269,1.31674,1.17654,0.000393176,0.000393176,0.000393176
34,232.98,0.98509,0.56181,1.00769,0.79511,0.67188,0.77851,0.4867,1.39964,1.27565,1.15456,0.000379431,0.000379431,0.000379431
35,239.595,0.90617,0.5318,0.97497,0.84125,0.78004,0.87916,0.52671,1.41761,1.03222,1.1717,0.000365687,0.000365687,0.000365687
36,246.403,0.97709,0.54906,0.99435,0.87537,0.84134,0.91081,0.56844,1.34756,0.877,1.15562,0.000351942,0.000351942,0.000351942
37,253.111,0.96285,0.53112,0.99971,0.83153,0.8558,0.90071,0.54716,1.39787,0.88974,1.15485,0.000338198,0.000338198,0.000338198
38,259.74,0.96288,0.52124,0.99579,0.86456,0.78906,0.86863,0.54121,1.34224,0.91111,1.14441,0.000324453,0.000324453,0.000324453
39,266.894,0.95586,0.53086,0.99674,0.9226,0.77992,0.8882,0.50302,1.49175,0.95643,1.1594,0.000310709,0.000310709,0.000310709
40,273.779,0.9357,0.52071,0.98969,0.87843,0.78938,0.87792,0.52055,1.41381,0.95479,1.15524,0.000296964,0.000296964,0.000296964
41,280.568,0.90431,0.50703,0.98442,0.92248,0.82422,0.90786,0.49678,1.49927,0.93886,1.16581,0.00028322,0.00028322,0.00028322
42,287.628,0.89191,0.50128,0.9778,0.92454,0.83571,0.9119,0.52643,1.41482,0.90292,1.15126,0.000269475,0.000269475,0.000269475
43,294.461,0.86797,0.48923,0.95777,0.94696,0.82133,0.89629,0.5557,1.38226,0.86389,1.14802,0.000255731,0.000255731,0.000255731
44,301.261,0.86477,0.48427,0.97088,0.92481,0.80482,0.89932,0.54431,1.45892,0.87738,1.1626,0.000241986,0.000241986,0.000241986
45,308.291,0.84722,0.48402,0.96707,0.90241,0.79442,0.88243,0.54464,1.39986,0.87851,1.13878,0.000228242,0.000228242,0.000228242
46,314.865,0.85164,0.4771,0.96397,0.85844,0.79731,0.87286,0.52358,1.38775,0.88732,1.141,0.000214497,0.000214497,0.000214497
47,321.542,0.85068,0.47412,0.95887,0.8894,0.76019,0.87051,0.52483,1.40526,0.94739,1.15173,0.000200753,0.000200753,0.000200753
48,328.421,0.8368,0.47359,0.95856,0.89712,0.75331,0.8594,0.51505,1.3999,0.94676,1.16867,0.000187008,0.000187008,0.000187008
49,335.21,0.85418,0.47035,0.96562,0.89696,0.79094,0.86655,0.51742,1.37428,0.94189,1.15797,0.000173264,0.000173264,0.000173264
50,341.883,0.83787,0.4634,0.95921,0.92793,0.75659,0.86139,0.52019,1.38234,0.9397,1.15609,0.00015952,0.00015952,0.00015952
51,350.111,0.7419,0.40018,0.90683,0.89718,0.79164,0.88171,0.53098,1.39559,0.90874,1.15358,0.000145775,0.000145775,0.000145775
52,356.548,0.77622,0.39907,0.90629,0.89086,0.82188,0.89052,0.55545,1.32323,0.89877,1.12966,0.000132031,0.000132031,0.000132031
53,362.1,0.7217,0.39272,0.90057,0.8848,0.80221,0.87115,0.52879,1.34924,0.87974,1.14743,0.000118286,0.000118286,0.000118286
54,368.272,0.70895,0.38752,0.89846,0.88512,0.81537,0.89324,0.53147,1.39457,0.87361,1.15087,0.000104542,0.000104542,0.000104542
55,374.003,0.71405,0.38448,0.90342,0.91668,0.79903,0.89475,0.54084,1.39062,0.88209,1.14884,9.0797e-05,9.0797e-05,9.0797e-05
