epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,291.796,0.84596,0.50069,0.93184,0.8425,0.84406,0.90765,0.5479,1.32159,0.83104,1.12496,0.000269475,0.000269475,0.000269475
43,298.645,0.82588,0.48543,0.91823,0.84296,0.80586,0.88608,0.53513,1.32936,0.88586,1.13752,0.000255731,0.000255731,0.000255731
44,305.85,0.81361,0.48005,0.92852,0.87969,0.83594,0.91411,0.53765,1.41123,0.87829,1.14929,0.000241986,0.000241986,0.000241986
45,312.604,0.82128,0.48311,0.93151,0.89218,0.84361,0.92477,0.57498,1.36662,0.85475,1.14455,0.000228242,0.000228242,0.000228242
46,319.353,0.79753,0.46582,0.9122,0.8551,0.88908,0.93145,0.57849,1.31349,0.77409,1.12676,0.000214497,0.000214497,0.000214497
47,326.049,0.80022,0.47163,0.91382,0.87543,0.8821,0.94158,0.57938,1.36101,0.76428,1.11965,0.000200753,0.000200753,0.000200753
48,332.911,0.79728,0.47147,0.92262,0.90255,0.8516,0.93167,0.57193,1.32363,0.75473,1.12486,0.000187008,0.000187008,0.000187008
49,339.748,0.79457,0.45945,0.91222,0.89715,0.88488,0.94493,0.59134,1.30006,0.72982,1.12159,0.000173264,0.000173264,0.000173264
50,346.657,0.77266,0.45179,0.91733,0.89545,0.85543,0.93732,0.59204,1.29041,0.69504,1.10872,0.00015952,0.00015952,0.00015952
51,354.758,0.72774,0.41487,0.90171,0.89193,0.86612,0.94604,0.59701,1.30402,0.71125,1.11373,0.000145775,0.000145775,0.000145775
52,361.337,0.70739,0.39937,0.89711,0.94589,0.84971,0.94729,0.59797,1.28139,0.69803,1.11468,0.000132031,0.000132031,0.000132031
53,366.764,0.71181,0.40661,0.89879,0.9612,0.85846,0.95275,0.60848,1.26153,0.71811,1.10596,0.000118286,0.000118286,0.000118286
54,373.213,0.71185,0.40407,0.90386,0.89793,0.89873,0.95283,0.60681,1.25294,0.71988,1.10256,0.000104542,0.000104542,0.000104542
55,378.753,0.70917,0.40393,0.90664,0.95648,0.84196,0.93978,0.60395,1.25257,0.71909,1.10265,9.0797e-05,9.0797e-05,9.0797e-05
56,384.695,0.67736,0.38698,0.88032,0.96264,0.83166,0.93096,0.59558,1.26089,0.75081,1.11085,7.70525e-05,7.70525e-05,7.70525e-05
57,390.386,0.68057,0.39113,0.8935,0.94712,0.83171,0.92999,0.59935,1.23772,0.76118,1.09731,6.3308e-05,6.3308e-05,6.3308e-05
58,395.76,0.67856,0.38668,0.89017,0.95798,0.83117,0.93093,0.59756,1.24976,0.76042,1.10286,4.95635e-05,4.95635e-05,4.95635e-05
59,402.006,0.66783,0.3835,0.8877,0.96102,0.8282,0.93552,0.59304,1.2638,0.75195,1.11239,3.5819e-05,3.5819e-05,3.5819e-05
60,407.377,0.6665,0.38056,0.89097,0.94036,0.83843,0.93615,0.59184,1.25808,0.7372,1.10426,2.20745e-05,2.20745e-05,2.20745e-05
