epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,310.292,0.83136,0.47107,0.92672,0.92575,0.86557,0.94233,0.60931,1.25719,0.75469,1.07054,0.000269475,0.000269475,0.000269475
43,316.91,0.80747,0.45311,0.91045,0.91295,0.86634,0.94082,0.60294,1.27958,0.76458,1.07922,0.000255731,0.000255731,0.000255731
44,323.837,0.77934,0.4429,0.91712,0.882,0.82075,0.90689,0.58955,1.2621,0.82432,1.07613,0.000241986,0.000241986,0.000241986
45,330.683,0.79354,0.44772,0.92152,0.89986,0.80683,0.89521,0.57643,1.25255,0.8588,1.07824,0.000228242,0.000228242,0.000228242
46,337.548,0.78045,0.43302,0.90747,0.88849,0.84355,0.9022,0.58566,1.25199,0.80955,1.06723,0.000214497,0.000214497,0.000214497
47,344.316,0.7595,0.43527,0.90212,0.88615,0.80848,0.88891,0.56685,1.27788,0.87651,1.07322,0.000200753,0.000200753,0.000200753
48,351.314,0.76598,0.43354,0.91479,0.86968,0.83053,0.88038,0.55353,1.23383,0.8445,1.07118,0.000187008,0.000187008,0.000187008
49,358.119,0.78183,0.43269,0.90317,0.89093,0.82991,0.8891,0.56242,1.23997,0.81176,1.07752,0.000173264,0.000173264,0.000173264
50,364.964,0.76537,0.43038,0.91104,0.93283,0.81554,0.91417,0.57706,1.25627,0.78188,1.08081,0.00015952,0.00015952,0.00015952
51,373.556,0.71423,0.3927,0.89591,0.90773,0.8527,0.92306,0.57536,1.26534,0.76958,1.07788,0.000145775,0.000145775,0.000145775
52,379.583,0.71309,0.38519,0.89171,0.91105,0.8393,0.91778,0.58608,1.24346,0.76835,1.07466,0.000132031,0.000132031,0.000132031
53,385.593,0.70977,0.38307,0.88925,0.92359,0.86321,0.93416,0.59775,1.26191,0.72359,1.0707,0.000118286,0.000118286,0.000118286
54,391.704,0.68676,0.37268,0.89544,0.91256,0.89773,0.953,0.62735,1.25953,0.6832,1.07017,0.000104542,0.000104542,0.000104542
55,397.629,0.69746,0.37758,0.90185,0.89639,0.94275,0.96268,0.62151,1.26122,0.67403,1.07819,9.0797e-05,9.0797e-05,9.0797e-05
56,403.921,0.65945,0.36338,0.87329,0.93386,0.94504,0.9727,0.63893,1.24645,0.647,1.06609,7.70525e-05,7.70525e-05,7.70525e-05
57,409.682,0.65223,0.3626,0.88234,0.92313,0.94268,0.96884,0.62699,1.23779,0.6471,1.06316,6.3308e-05,6.3308e-05,6.3308e-05
58,416.076,0.66296,0.3606,0.88531,0.91793,0.93096,0.9632,0.62667,1.23452,0.66721,1.06611,4.95635e-05,4.95635e-05,4.95635e-05
59,421.746,0.65355,0.35674,0.87662,0.90996,0.9193,0.95195,0.6196,1.23471,0.70472,1.07038,3.5819e-05,3.5819e-05,3.5819e-05
60,428.024,0.63605,0.35398,0.88098,0.90277,0.9124,0.94655,0.61887,1.2315,0.71615,1.0704,2.20745e-05,2.20745e-05,2.20745e-05
